,code,text,origin,include,context,prompt
0,F84,Degeneração macular,gpt-4o-mini,true,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
1,F84,Degeneração da mácula,gpt-4o-mini,true,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
2,F84,Degeneração do polo posterior,gpt-4o-mini,false,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
3,F84,Doença da mácula,gpt-4o-mini,false,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
4,F84,Doença degenerativa da mácula,gpt-4o-mini,true,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
5,F84,Degenerescência da retina,gpt-4o-mini,false,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
6,F84,Alterações maculares,gpt-4o-mini,true,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
7,F84,Deterioração da mácula,gpt-4o-mini,true,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
8,F84,Degeneração da retina central,gpt-4o-mini,true,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
9,F84,Degeneração da área central da retina,gpt-4o-mini,true,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
10,F84,Doença da retina,gpt-4o-mini,false,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
11,F84,Alterações na mácula,gpt-4o-mini,false,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Degenerescência macular, Degenerescência da mácula e do polo posterior. Exclui: retinopatia "
