cod,componente,nome,nome_curto,incl,excl,crit,cons,nota,icd10
-30,2,Exame médico/avaliação de saúde-completo,Ex médico/avaliação saúde completo,,,,,,
-31,2,Exame médico/avaliação de saúde-parcial,Ex médico/avaliação saúde parcial,,,,,,
-32,2,Teste de sensibilidade,Teste de sensibilidade,,,,,,
-33,2,Teste microbiológico/imunológico,Teste microbiológico/imunológico,,,,,,
-34,2,Análise de sangue,Análise de sangue,,,,,,
-35,2,Análise de urina,Análise de Urina,,,,,,
-36,2,Análise de fezes,Análise de fezes,,,,,,
-37,2,Citologia esfoliativa/histologia,Citologia exfoliativa/histologia,,,,,,
-38,2,Outra análise laboratorial NE,Outra análise laboratorial NE,,,,,,
-39,2,Teste de função física,Teste de função física,,,,,,
-40,2,Endoscopia diagnóstica,Endoscopia diagnóstica,,,,,,
-41,2,Radiologia/imagiologia diagnóstica,Radiologia/imagiologia diagnóstica,,,,,,
-42,2,Traçado eléctrico,Traçado eléctrico,,,,,,
-43,2,Outros procedimentos diagnósticos,Outros procedimentos diagnósticos,,,,,,
-44,2,Vacinação/medicação preventiva,Vacinação/medicação preventiva,,,,,,
-45,2,Observação/educação para a saúde/conselho/dieta,Observação/educação saúde/conselhos/dieta,,,,,,
-46,2,Consulta com prestador de cuidados primários,Consulta com prestador de CSP,,,,,,
-47,2,Consulta com especialista,Consulta com especialista,,,,,,
-48,2,Clarificação/discussão do motivo de consulta/pedido do doente,Clarific/discuss mot cons/pedido dte,,,,,,
-49,2,Outros procedimentos preventivos,Outros procedimentos preventivos,,,,,,
-50,3,Medicação/prescrição/renovação/injecção,Medicação/prescriç/renovação/injec,,,,,,
-51,3,Incisão/drenagem/limpeza/aspiração/remoção de líquidos corporais (exclui cateterização - 53),Inc/dren/limp/aspir/remoção líquidos,,,,,,
-52,3,Excisão/exerése/biopsia/destruição/desbridamento/cauterização,Excis/exerés/bióps/destru/desbr/caut,,,,,,
-53,3,Instrumentação/cateterização/intubação/dilatação,Instrument/cateteriz/intubaç/dilataç,,,,,,
-54,3,Reparação/fixação-sutura/gesso/prótese (aplicação/remoção),Reparação/fixaç-sutura/gesso/prótese,,,,,,
-55,3,Injecção local/infiltração,Injecção local/infiltração,,,,,,
