code,text,origin,include,context,prompt
A05,Fadiga,human-dc,1,,
A05,Mal estar,human-dc,0,,
A01,Dor em múltiplos locais,human-dc,1,,
A01,Dor em múltiplas localizações,human-dc,1,,
A01,Dor múltiplas localizações,human-dc,1,,
A01,Dor várias localizações,human-dc,1,,
A11,Dor no peito NE,gpt-4o-mini,1,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'",Dor torácica NE. Exclui: dor atribuída ao coração; dor atribuída à parede torácica; dor atribuída ao sistema respiratório
A11,dor torácica indeterminada,gpt-4o-mini,1,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'",Dor torácica NE. Exclui: dor atribuída ao coração; dor atribuída à parede torácica; dor atribuída ao sistema respiratório
A11,dor no tórax NE,gpt-4o-mini,1,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'",Dor torácica NE. Exclui: dor atribuída ao coração; dor atribuída à parede torácica; dor atribuída ao sistema respiratório
A11,dor torácica generalizada,gpt-4o-mini,1,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'",Dor torácica NE. Exclui: dor atribuída ao coração; dor atribuída à parede torácica; dor atribuída ao sistema respiratório
A11,dor torácica não especificada,gpt-4o-mini,1,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'",Dor torácica NE. Exclui: dor atribuída ao coração; dor atribuída à parede torácica; dor atribuída ao sistema respiratório
A11,desconforto torácico NE,gpt-4o-mini,1,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'",Dor torácica NE. Exclui: dor atribuída ao coração; dor atribuída à parede torácica; dor atribuída ao sistema respiratório
A11,dor na região torácica NE,gpt-4o-mini,1,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'",Dor torácica NE. Exclui: dor atribuída ao coração; dor atribuída à parede torácica; dor atribuída ao sistema respiratório
A11,dor torácica inespecífica,gpt-4o-mini,1,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'",Dor torácica NE. Exclui: dor atribuída ao coração; dor atribuída à parede torácica; dor atribuída ao sistema respiratório
A11,dor torácica sem causa,gpt-4o-mini,1,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'",Dor torácica NE. Exclui: dor atribuída ao coração; dor atribuída à parede torácica; dor atribuída ao sistema respiratório
P78,Fadiga crónica,gpt-4o-mini,0,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Neurastenia/surmenage; Critérios: fadiga crescente com associações desagradáveis, dificuldades de concentração e um decréscimo persistente do desempenho e da eficiência de coping; a sensação de cansaço físico e de exaustão depois de um esforço mental ou um esforço físico mínimo é muitas vezes acompanhada por dor muscular e incapacidade para relaxar"
P78,Síndrome de fadiga,gpt-4o-mini,0,"Estou a fazer um processo de Data Augmentation e preciso de encontrar sinónimos para a seguinte doença ou problema de saúde em português de Portugal. Vou te dar as expressões que já tenho, encontra-me variações que sejam sinónimos ou outras formas de expressão similares . Dá-me entre 10 e 50 resultados. 'NE' significa não especificado. Devlove apenas a lista de expressões separadas por ';'","Neurastenia/surmenage; Critérios: fadiga crescente com associações desagradáveis, dificuldades de concentração e um decréscimo persistente do desempenho e da eficiência de coping; a sensação de cansaço físico e de exaustão depois de um esforço mental ou um esforço físico mínimo é muitas vezes acompanhada por dor muscular e incapacidade para relaxar"
