code,text,origin,chapter,label
A01,Dor generalizada/múltiplos locais,icpc2_description,A,0
A01,dor em várias partes do organismo,gpt-4o-mini,A,0
A01,dor persistente em vários locais,gpt-4o-mini,A,0
A01,dor generalizada aguda,gpt-4o-mini,A,0
A01,dor generalizada intensa,gpt-4o-mini,A,0
A01,dor generalizada persistente,gpt-4o-mini,A,0
A01,dor em várias zonas,gpt-4o-mini,A,0
A01,dor em todo o corpo,gpt-4o-mini,A,0
A01,dor crónica em várias regiões,gpt-4o-mini,A,0
A01,dor crónica em todo o corpo,gpt-4o-mini,A,0
A01,dor localizada em vários sítios,gpt-4o-mini,A,0
A01,dor generalizada leve,gpt-4o-mini,A,0
A01,dor em várias localizações,gpt-4o-mini,A,0
A01,dor generalizada intermitente,gpt-4o-mini,A,0
A01,dor generalizada moderada,gpt-4o-mini,A,0
A01,dor em múltiplas áreas,gpt-4o-mini,A,0
A01,Dor em múltiplos locais,human-dc,A,0
A01,Dor em múltiplas localizações,human-dc,A,0
A01,Dor múltiplas localizações,human-dc,A,0
A01,dor em várias partes do corpo,gpt-4o-mini,A,0
A01,dor em múltiplos pontos,gpt-4o-mini,A,0
A01,dor abrangente,gpt-4o-mini,A,0
A01,dor em múltiplas regiões,gpt-4o-mini,A,0
A01,dor em várias zonas do corpo,gpt-4o-mini,A,0
A01,Dor várias localizações,human-dc,A,0
A01,dor em várias áreas do corpo,gpt-4o-mini,A,0
A01,dor em todo o organismo,gpt-4o-mini,A,0
A01,dor crónica generalizada,icpc2_inclusion,A,0
A01,dores múltiplas,icpc2_inclusion,A,0
A02,reações de frio,gpt-4o-mini,A,1
A02,calafrios repentinos,gpt-4o-mini,A,1
A02,sensação de frio,gpt-4o-mini,A,1
A02,resposta fisiológica ao frio,gpt-4o-mini,A,1
A02,arrepios de frio,gpt-4o-mini,A,1
A02,calafrios,gpt-4o-mini,A,1
A02,tremedeira,gpt-4o-mini,A,1
A02,sensação de arrepio,gpt-4o-mini,A,1
A02,tremores involuntários,gpt-4o-mini,A,1
A02,Arrepios,icpc2_description,A,1
A02,resposta ao frio,gpt-4o-mini,A,1
A02,tremores,icpc2_inclusion,A,1
A02,Outros sintomas e sinais gerais,icd10_description,A,1
A03,pirexia,icpc2_inclusion,A,2
A03,Pirexia,gpt-4o-mini,A,2
A03,febre intermitente,gpt-4o-mini,A,2
A03,febre associada a infeção,gpt-4o-mini,A,2
A03,febre alta,gpt-4o-mini,A,2
A03,febre contínua,gpt-4o-mini,A,2
A03,febre inexplicada,gpt-4o-mini,A,2
A03,febre não especificada,gpt-4o-mini,A,2
A03,febre escarlatina,gpt-4o-mini,A,2
A03,febre aguda,gpt-4o-mini,A,2
A03,febre de origem desconhecida,gpt-4o-mini,A,2
A03,Outra febre especificada,icd10_description,A,2
A03,febre malárica,gpt-4o-mini,A,2
A03,Febre,icpc2_description,A,2
A03,"Febre, sem outra especificação",icd10_description,A,2
A04,Síndrome de fadiga pós-viral,icd10_description,A,3
A04,"Mal estar, fadiga",icd10_description,A,3
A04,fadiga pós-viral,icpc2_inclusion,A,3
A04,letargia,icpc2_inclusion,A,3
A04,lassidão,icpc2_inclusion,A,3
A04,fadiga,icpc2_inclusion,A,3
A04,Debilidade/cansaço geral,icpc2_description,A,3
A04,exaustão,icpc2_inclusion,A,3
A04,síndrome de fadiga crónica,icpc2_inclusion,A,3
A05,sensação de letargia,gpt-4o-mini,A,4
A05,indisposição geral,gpt-4o-mini,A,4
A05,sensação de prostração,gpt-4o-mini,A,4
A05,sensação de fraqueza,gpt-4o-mini,A,4
A05,apatia,gpt-4o-mini,A,4
A05,sensação de fraqueza física,gpt-4o-mini,A,4
A05,falta de energia,gpt-4o-mini,A,4
A05,sensação de doença,gpt-4o-mini,A,4
A05,fadiga crónica,gpt-4o-mini,A,4
A05,Fadiga,human-dc,A,4
A05,desconforto,gpt-4o-mini,A,4
A05,falta de disposição,gpt-4o-mini,A,4
A05,prostração,gpt-4o-mini,A,4
A05,sensação de cansaço extremo,gpt-4o-mini,A,4
A05,sensação de mal-estar,gpt-4o-mini,A,4
A05,cansaço,gpt-4o-mini,A,4
A05,indisposição,gpt-4o-mini,A,4
A05,mal-estar geral,gpt-4o-mini,A,4
A05,mal-estar,icpc2_inclusion,A,4
A05,desconforto físico,gpt-4o-mini,A,4
A05,fraqueza,gpt-4o-mini,A,4
A05,debilidade,gpt-4o-mini,A,4
A05,Sentir-se doente,icpc2_description,A,4
A06,colapso vasovagal,gpt-4o-mini,A,5
A06,Síncope e colapso,icd10_description,A,5
A06,síncope,gpt-4o-mini,A,5
A06,desmaio por hipoglicemia,gpt-4o-mini,A,5
A06,crise de desmaio,gpt-4o-mini,A,5
A06,síncope vasovagal,gpt-4o-mini,A,5
A06,desmaio episódico,gpt-4o-mini,A,5
A06,desmaio associado a estresse,gpt-4o-mini,A,5
A06,crise vasovagal,gpt-4o-mini,A,5
A06,desmaio,gpt-4o-mini,A,5
A06,desmaio inexplicável,gpt-4o-mini,A,5
A06,síncope postural,gpt-4o-mini,A,5
A06,síncope por desidratação,gpt-4o-mini,A,5
A06,colapso,icpc2_inclusion,A,5
A06,perda momentânea da consciência,icpc2_inclusion,A,5
A06,desmaio súbito,gpt-4o-mini,A,5
A06,perda de consciência,gpt-4o-mini,A,5
A06,perda de consciência breve,gpt-4o-mini,A,5
A06,colapso devido a dor,gpt-4o-mini,A,5
A06,desmaio breve,gpt-4o-mini,A,5
A06,síncope transitória,gpt-4o-mini,A,5
A06,perda de consciência temporária,gpt-4o-mini,A,5
A06,síncope reflexa,gpt-4o-mini,A,5
A06,Desmaio/síncope,icpc2_description,A,5
A07,letargia profunda,gpt-4o-mini,A,6
A07,estado de prostração,gpt-4o-mini,A,6
A07,Sonolência,icd10_description,A,6
