cod,nome,nome_curto,incl,excl,crit,cons,nota,icd10,ICD_10_new,ICD_10_list_description,ICD_10_list_description_join
-30,Exame médico/avaliação de saúde-completo,Ex médico/avaliação saúde completo,,,,,,,,[],
-31,Exame médico/avaliação de saúde-parcial,Ex médico/avaliação saúde parcial,,,,,,,,[],
-32,Teste de sensibilidade,Teste de sensibilidade,,,,,,,,[],
-33,Teste microbiológico/imunológico,Teste microbiológico/imunológico,,,,,,,,[],
-34,Análise de sangue,Análise de sangue,,,,,,,,[],
-35,Análise de urina,Análise de Urina,,,,,,,,[],
-36,Análise de fezes,Análise de fezes,,,,,,,,[],
-37,Citologia esfoliativa/histologia,Citologia exfoliativa/histologia,,,,,,,,[],
-38,Outra análise laboratorial NE,Outra análise laboratorial NE,,,,,,,,[],
-39,Teste de função física,Teste de função física,,,,,,,,[],
-40,Endoscopia diagnóstica,Endoscopia diagnóstica,,,,,,,,[],
-41,Radiologia/imagiologia diagnóstica,Radiologia/imagiologia diagnóstica,,,,,,,,[],
-42,Traçado eléctrico,Traçado eléctrico,,,,,,,,[],
-43,Outros procedimentos diagnósticos,Outros procedimentos diagnósticos,,,,,,,,[],
-44,Vacinação/medicação preventiva,Vacinação/medicação preventiva,,,,,,,,[],
-45,Observação/educação para a saúde/conselho/dieta,Observação/educação saúde/conselhos/dieta,,,,,,,,[],
-46,Consulta com prestador de cuidados primários,Consulta com prestador de CSP,,,,,,,,[],
-47,Consulta com especialista,Consulta com especialista,,,,,,,,[],
-48,Clarificação/discussão do motivo de consulta/pedido do doente,Clarific/discuss mot cons/pedido dte,,,,,,,,[],
-49,Outros procedimentos preventivos,Outros procedimentos preventivos,,,,,,,,[],
-50,Medicação/prescrição/renovação/injecção,Medicação/prescriç/renovação/injec,,,,,,,,[],
-51,Incisão/drenagem/limpeza/aspiração/remoção de líquidos corporais (exclui cateterização - 53),Inc/dren/limp/aspir/remoção líquidos,,,,,,,,[],
-52,Excisão/exerése/biopsia/destruição/desbridamento/cauterização,Excis/exerés/bióps/destru/desbr/caut,,,,,,,,[],
-53,Instrumentação/cateterização/intubação/dilatação,Instrument/cateteriz/intubaç/dilataç,,,,,,,,[],
-54,Reparação/fixação-sutura/gesso/prótese (aplicação/remoção),Reparação/fixaç-sutura/gesso/prótese,,,,,,,,[],
-55,Injecção local/infiltração,Injecção local/infiltração,,,,,,,,[],
-56,Penso/ligadura/compressão/tamponamento,Penso/ligadura/compressão/tamponam,,,,,,,,[],
-57,Medicina física/reabilitação,Medicina física/reabilitação,,,,,,,,[],
-58,Aconselhamento/escuta terapêutica,Aconselhamento/escuta terapêutica,,,,,,,,[],
-59,Outro procedimento terapêutico/pequena cirurgia NE,Outro procedi terap/pequena cirur NE,,,,,,,,[],
-60,Resultado de teste/procedimento,Resultado de teste/procedimento,,,,,,,,[],
-61,Resultado de exame/teste/registo/carta de outro prestador,Result exa/teste/regis/carta prestad,,,,,,,,[],
-62,Procedimento administrativo,Procedimento administrativo,,,,,,,,[],
-63,Consulta de seguimento não especificada,Consulta seguimento não especificada,,,,,,,,[],
-64,Consulta/problema iniciado pelo técnico de saúde,Consul/probl iniciado p/ técn saúde,,,,,,,,[],
-65,Consulta/problema iniciado por outra pessoa que não o doente/técnico,Consul/prob inic out q/ não dte/técn,,,,,,,,[],
-66,Referenciação para outro técnico de saúde/enfermeiro/terapeuta/assistente social,Referenc para prestador não médico,,,,,,,,[],
-67,Referenciação para médico/especialista/clínica/hospital,Referenc p/ méd/espec/clínica/hospit,,,,,,,,[],
